Customer ID,first_name,last_name,complete_address,phone_number,mail_id,Timestamp,Device Type,Referral Source,Location,Customer Type,Purchases Last 30 Days,Avg Time Between Purchases (Days),Lifetime Value,Avg Order Value,Last Purchase Date,Total Purchases,Repeat Purchase Rate,Customer Tenure,Loyalty Program Participation,Loyalty Tier,Subscription Status,most_preferred_product
CUST9167,Jashwanth,reddy,"248 Moore Road Suite 817, Daltonbury, NH 42174",9014341907,Jashwanthreddy90143@gail.com,10/27/2024 12:58,app,email,Texas,New,10,28.88729455,4244.75,108.08,8/24/2024 12:58,30,0.57,9/20/2022 18:04,TRUE,Silver,Subscribed,Nike Air Max 270
CUST4169,Leenatha,reddy,"2267 Aguilar Freeway Apt. 652, North Andrew, AL 72142",9110532535,leenatharayadurgam@gmail.com,3/28/2024 16:18,web,google,Illinois,Returning,4,10.82822642,4604.63,46.51,2/25/2024 16:18,15,0.6,6/26/2022 19:31,TRUE,Silver,Not Subscribed,Samsung Galaxy S22
CUST2048,Rahul,chenchugari,"USNS Davis, FPO AE 31488",8639033166,itsrahulchechugari@gmail.com,01-03-2025 06:11,mobile,affiliate,California,New,10,9.162349264,1409.04,400.76,10-11-2024 06:11,21,0.76,8/25/2022 19:21,FALSE,None,Not Subscribed,Canon EOS R50
CUST2504,Venkatesh,kondaboyina,"52496 Cook Plain Apt. 015, East Cynthiaborough, FL 08300",9014828233,vkondaboyina@gmail.com,09-01-2023 13:46,app,google,Florida,Returning,7,20.71982519,4238.59,95.33,06-07-2023 13:46,12,0.92,03-11-2022 23:51,TRUE,Platinum,Subscribed,Apple MacBook Pro
CUST8653,tejal,jain,"186 Freeman Islands, Jenniferchester, IN 91257",8087791227,tejal.jain07@gmail.com,1/31/2025 10:55,mobile,email,Texas,New,5,3.664925763,4763.83,498.26,12/18/2024 10:55,6,0.38,2/16/2022 18:20,TRUE,Silver,Subscribed,GoPro HERO10
CUST2106,neelu,ganukalla,"95451 Velazquez Fort, West Eric, CO 16911",8985096649,neeluvickey05@gmail.com,2/14/2024 18:20,mobile,google,Florida,New,10,22.77665157,100.8,404.54,12-02-2023 18:20,24,0.97,12/17/2022 3:56,FALSE,None,Not Subscribed,Dell XPS 13 Laptop
CUST6959,Shashank,reddy,"797 Green Overpass, Patelton, DE 69024",9380890417,shashank14510045@gmail.com,04-02-2025 01:29,mobile,google,New York,New,4,27.84720932,2555.67,37.35,1/24/2025 1:29,13,0.6,7/31/2022 3:47,TRUE,Gold,Not Subscribed,Apple iPhone 14
CUST9153,Khushi,vyas,"8636 Jeff Shores Apt. 599, East Stevenbury, WY 35138",8824326679,vyaskhushi439@gmail.com,04-09-2024 12:12,mobile,facebook,New York,New,5,8.478238719,4439.9,465.09,3/16/2024 12:12,25,0.92,4/13/2022 19:26,TRUE,Silver,Not Subscribed,Fitbit Charge 5
CUST4498,Bhanu,Prakash,"8174 Lindsey Plains Suite 811, North Susanfurt, WA 11453",9494405099,bhanuprakash.sigireddy@gmail.com,3/27/2025 9:29,app,affiliate,Illinois,New,2,2.642256102,543.94,321.11,02-09-2025 09:29,17,0.99,7/13/2022 21:36,FALSE,None,Not Subscribed,Canon EOS R50
CUST6865,Guru,Raghavendra,"984 Haas Isle Suite 073, Lisaburgh, LA 11097",9092590425,berlinguru732@gmail.com,05-03-2024 04:35,web,affiliate,California,New,7,23.71330847,2371.17,303.45,3/23/2024 4:35,12,0.86,5/31/2022 10:39,FALSE,None,Not Subscribed,Samsung Galaxy S22
CUST6726,Shane,Mooney,"17718 Obrien Rapid, West Nicholas, IN 02530",458-538-8175,vargasteresa@gmail.com,07-07-2023 09:46,app,direct,Florida,Returning,3,13.63704371,2192.56,485.31,07-02-2023 09:46,12,0.25,2/13/2022 3:24,FALSE,None,Not Subscribed,JBL Flip 6 Speaker
CUST1402,Jon,Ford,"355 Tanya Field, West Joshuafort, ND 45013",5255735767,robert37@gmail.com,01-01-2023 01:28,app,affiliate,Illinois,Returning,10,11.89354256,1416.46,385.26,10/15/2022 1:28,20,0.75,11/14/2022 5:43,TRUE,Platinum,Subscribed,Fitbit Charge 5
CUST1083,Phillip,Pacheco,"08266 Bennett Ridge Suite 138, East Jamesberg, MD 11541",+1-451-001-3508x8644,fhoffman@stark.com,4/18/2024 20:19,app,affiliate,Texas,Returning,5,25.61033904,1659.33,283.3,1/24/2024 20:19,24,0.61,01-10-2022 02:41,TRUE,Gold,Not Subscribed,JBL Flip 6 Speaker
CUST2038,Theresa,Frazier,"619 John Streets, Raymondside, ID 41776",259-449-7994x3287,hjimenez@yahoo.com,08-07-2023 00:48,mobile,email,New York,New,3,9.943752877,2462.22,229.85,08-04-2023 00:48,10,0.16,4/28/2022 5:06,FALSE,None,Not Subscribed,Instant Pot Duo
CUST1971,Gerald,Russo,"76885 Dawn Shoal Suite 477, Obrienbury, CA 08189",(055)517-6747,gwendolynjones@yang.com,01-09-2023 02:20,mobile,affiliate,New York,New,8,2.754605975,1652.63,354.88,10/15/2022 2:20,28,0.14,3/24/2022 11:23,TRUE,Gold,Subscribed,Nintendo Switch
CUST3499,Christopher,Graham,"09492 Sean Common, Davidstad, MI 55405",001-814-402-3414x56403,sanderson@martinez-sampson.com,01-02-2023 12:09,mobile,facebook,New York,New,9,6.461793189,600.98,32.6,11/28/2022 12:09,11,0.37,11-11-2022 02:40,FALSE,None,Not Subscribed,Canon EOS R50
CUST9157,Matthew,Lester,"7582 Julia Summit, Hendersonmouth, ND 85320",001-556-449-2869x74808,smithpatricia@stone.com,4/27/2023 1:37,app,affiliate,California,New,8,5.725569156,239.01,203.96,3/29/2023 1:37,11,0.94,06-07-2022 17:28,FALSE,None,Not Subscribed,Instant Pot Duo
